ano,trim,macroetapa,categoria,valor,freq,n
2014,1,EM,raca,Branca,1.0,7840
2014,1,EM,raca,Parda,1.0,10527
2014,1,EM,raca,Preta,1.0,1040
2014,2,EF finais,raca,Branca,1.0,9791
2014,2,EF finais,raca,Parda,1.0,16807
2014,2,EF finais,raca,Preta,1.0,1490
2014,2,EF iniciais,raca,Branca,1.0,12608
2014,2,EF iniciais,raca,Parda,1.0,21816
2014,2,EF iniciais,raca,Preta,1.0,1621
2014,2,EM,raca,Branca,1.0,7694
2014,2,EM,raca,Parda,1.0,10291
2014,2,EM,raca,Preta,1.0,998
2014,3,EF finais,raca,Branca,1.0,9828
2014,3,EF finais,raca,Parda,1.0,16750
2014,3,EF finais,raca,Preta,1.0,1519
2014,3,EF iniciais,raca,Branca,1.0,12806
2014,3,EF iniciais,raca,Parda,1.0,21961
2014,3,EF iniciais,raca,Preta,1.0,1681
2014,3,EM,raca,Branca,1.0,7552
2014,3,EM,raca,Parda,1.0,10111
2014,3,EM,raca,Preta,1.0,1011
2014,4,EF finais,raca,Branca,1.0,10056
2014,4,EF finais,raca,Parda,1.0,16657
2014,4,EF finais,raca,Preta,1.0,1497
2014,4,EF iniciais,raca,Branca,1.0,12831
2014,4,EF iniciais,raca,Parda,1.0,21720
2014,4,EF iniciais,raca,Preta,1.0,1706
2014,4,EM,raca,Branca,1.0,7197
2014,4,EM,raca,Parda,1.0,9870
2014,4,EM,raca,Preta,1.0,961
2015,1,EF finais,raca,Branca,1.0,10025
2015,1,EF finais,raca,Parda,1.0,17015
2015,1,EF finais,raca,Preta,1.0,1460
2015,1,EF iniciais,raca,Branca,1.0,12359
2015,1,EF iniciais,raca,Parda,1.0,20918
2015,1,EF iniciais,raca,Preta,1.0,1607
2015,1,EM,raca,Branca,1.0,7501
2015,1,EM,raca,Parda,1.0,11061
2015,1,EM,raca,Preta,1.0,1039
2015,2,EF finais,raca,Branca,1.0,10201
2015,2,EF finais,raca,Parda,1.0,17192
2015,2,EF finais,raca,Preta,1.0,1415
2015,2,EF iniciais,raca,Branca,1.0,12833
2015,2,EF iniciais,raca,Parda,1.0,21324
2015,2,EF iniciais,raca,Preta,1.0,1643
2015,2,EM,raca,Branca,1.0,7453
2015,2,EM,raca,Parda,1.0,10737
2015,2,EM,raca,Preta,1.0,1101
2015,3,EF finais,raca,Branca,1.0,10322
2015,3,EF finais,raca,Parda,1.0,17160
2015,3,EF finais,raca,Preta,1.0,1544
2015,3,EF iniciais,raca,Branca,1.0,13198
2015,3,EF iniciais,raca,Parda,1.0,22038
2015,3,EF iniciais,raca,Preta,1.0,1802
2015,3,EM,raca,Branca,1.0,7435
2015,3,EM,raca,Parda,1.0,10539
2015,3,EM,raca,Preta,1.0,1067
2016,1,EF finais,raca,Branca,1.0,10615
2016,1,EF finais,raca,Parda,1.0,18061
2016,1,EF finais,raca,Preta,1.0,1944
2016,1,EF iniciais,raca,Branca,1.0,12732
2016,1,EF iniciais,raca,Parda,1.0,22139
2016,1,EF iniciais,raca,Preta,1.0,2090
2016,1,EM,raca,Branca,1.0,7685
2016,1,EM,raca,Parda,1.0,11730
2016,1,EM,raca,Preta,1.0,1390
2016,2,EF finais,raca,Branca,1.0,10849
2016,2,EF finais,raca,Parda,1.0,17991
2016,2,EF finais,raca,Preta,1.0,1958
2016,2,EF iniciais,raca,Branca,1.0,13254
2016,2,EF iniciais,raca,Parda,1.0,22466
2016,2,EF iniciais,raca,Preta,1.0,2109
2016,2,EM,raca,Branca,1.0,7764
2016,2,EM,raca,Parda,1.0,11703
2016,2,EM,raca,Preta,1.0,1372
2016,3,EF finais,raca,Branca,1.0,10738
2016,3,EF finais,raca,Parda,1.0,18127
2016,3,EF finais,raca,Preta,1.0,1860
2016,3,EF iniciais,raca,Branca,1.0,13636
2016,3,EF iniciais,raca,Parda,1.0,23138
2016,3,EF iniciais,raca,Preta,1.0,2158
2016,3,EM,raca,Branca,1.0,7597
2016,3,EM,raca,Parda,1.0,11693
2016,3,EM,raca,Preta,1.0,1311
2016,4,EF finais,raca,Branca,1.0,10472
2016,4,EF finais,raca,Parda,1.0,18376
2016,4,EF finais,raca,Preta,1.0,1915
2016,4,EF iniciais,raca,Branca,1.0,13213
2016,4,EF iniciais,raca,Parda,1.0,22915
2016,4,EF iniciais,raca,Preta,1.0,2231
2016,4,EM,raca,Branca,1.0,7217
2016,4,EM,raca,Parda,1.0,11293
2016,4,EM,raca,Preta,1.0,1372
2017,1,EF finais,raca,Branca,1.0,10662
2017,1,EF finais,raca,Parda,1.0,18618
2017,1,EF finais,raca,Preta,1.0,1962
2017,1,EF iniciais,raca,Branca,1.0,12842
2017,1,EF iniciais,raca,Parda,1.0,22172
2017,1,EF iniciais,raca,Preta,1.0,2171
2017,1,EM,raca,Branca,1.0,7613
2017,1,EM,raca,Parda,1.0,12058
2017,1,EM,raca,Preta,1.0,1501
2017,2,EF finais,raca,Branca,1.0,10628
2017,2,EF finais,raca,Parda,1.0,18302
2017,2,EF finais,raca,Preta,1.0,1842
2017,2,EF iniciais,raca,Branca,1.0,13065
2017,2,EF iniciais,raca,Parda,1.0,22071
2017,2,EF iniciais,raca,Preta,1.0,2134
2017,2,EM,raca,Branca,1.0,7288
2017,2,EM,raca,Parda,1.0,11602
2017,2,EM,raca,Preta,1.0,1417
2017,3,EF finais,raca,Branca,1.0,10714
2017,3,EF finais,raca,Parda,1.0,17814
2017,3,EF finais,raca,Preta,1.0,1951
2017,3,EF iniciais,raca,Branca,1.0,13162
2017,3,EF iniciais,raca,Parda,1.0,21921
2017,3,EF iniciais,raca,Preta,1.0,2199
2017,3,EM,raca,Branca,1.0,7153
2017,3,EM,raca,Parda,1.0,10843
2017,3,EM,raca,Preta,1.0,1388
2017,4,EF finais,raca,Branca,1.0,10313
2017,4,EF finais,raca,Parda,1.0,17388
2017,4,EF finais,raca,Preta,1.0,2061
2017,4,EF iniciais,raca,Branca,1.0,12691
2017,4,EF iniciais,raca,Parda,1.0,21657
2017,4,EF iniciais,raca,Preta,1.0,2303
2017,4,EM,raca,Branca,1.0,6790
2017,4,EM,raca,Parda,1.0,10512
2017,4,EM,raca,Preta,1.0,1450
2018,1,EF finais,raca,Branca,1.0,10280
2018,1,EF finais,raca,Parda,1.0,17583
2018,1,EF finais,raca,Preta,1.0,2106
2018,1,EF iniciais,raca,Branca,1.0,12425
2018,1,EF iniciais,raca,Parda,1.0,21143
2018,1,EF iniciais,raca,Preta,1.0,2256
2018,1,EM,raca,Branca,1.0,6979
2018,1,EM,raca,Parda,1.0,11309
2018,1,EM,raca,Preta,1.0,1456
2018,2,EF finais,raca,Branca,1.0,10059
2018,2,EF finais,raca,Parda,1.0,17210
2018,2,EF finais,raca,Preta,1.0,2090
2018,2,EF iniciais,raca,Branca,1.0,12540
2018,2,EF iniciais,raca,Parda,1.0,21076
2018,2,EF iniciais,raca,Preta,1.0,2205
2018,2,EM,raca,Branca,1.0,6737
2018,2,EM,raca,Parda,1.0,10616
2018,2,EM,raca,Preta,1.0,1427
2018,3,EF finais,raca,Branca,1.0,9982
2018,3,EF finais,raca,Parda,1.0,17048
2018,3,EF finais,raca,Preta,1.0,2071
2018,3,EF iniciais,raca,Branca,1.0,12743
2018,3,EF iniciais,raca,Parda,1.0,21391
2018,3,EF iniciais,raca,Preta,1.0,2284
2018,3,EM,raca,Branca,1.0,6644
2018,3,EM,raca,Parda,1.0,10457
2018,3,EM,raca,Preta,1.0,1399
2018,4,EF finais,raca,Branca,1.0,9749
2018,4,EF finais,raca,Parda,1.0,16727
2018,4,EF finais,raca,Preta,1.0,2111
2018,4,EF iniciais,raca,Branca,1.0,12337
2018,4,EF iniciais,raca,Parda,1.0,21012
2018,4,EF iniciais,raca,Preta,1.0,2321
2018,4,EM,raca,Branca,1.0,6355
2018,4,EM,raca,Parda,1.0,10018
2018,4,EM,raca,Preta,1.0,1392
2019,1,EF finais,raca,Branca,1.0,9772
2019,1,EF finais,raca,Parda,1.0,16989
2019,1,EF finais,raca,Preta,1.0,2153
2019,1,EF iniciais,raca,Branca,1.0,12033
2019,1,EF iniciais,raca,Parda,1.0,20241
2019,1,EF iniciais,raca,Preta,1.0,2280
2019,1,EM,raca,Branca,1.0,6791
2019,1,EM,raca,Parda,1.0,10885
2019,1,EM,raca,Preta,1.0,1478
2019,2,EF finais,raca,Branca,1.0,9774
