ano,macroetapa,quintil,prom,rep,evas,eja,n
2021,EM,Q2,0.7184329306060537,0.17109109133135572,0.08688177802781423,0.0005496567150139988,819
2022,EM,Q2,0.615192479584861,0.2925771445736669,0.07016382863127549,0.0035025845101120737,964
2023,EM,Q2,0.6406577477456524,0.2604702936643463,0.0784622569368905,0.0016294729406909824,919
2012,EM,Q3,0.6663817046175111,0.16706664083034015,0.0868222390028046,0.009282326976260349,1603
2013,EM,Q3,0.6282667676730573,0.1752021172779599,0.10549103750556955,0.00725621345659343,1600
2014,EM,Q3,0.6565322207984505,0.1693424545669483,0.08139513116212527,0.009180307947432473,1658
2015,EM,Q3,0.6904945142260962,0.1528804174200738,0.11302008251526793,0.002750547913075152,1295
2016,EM,Q3,0.6905709615829093,0.18954184802431506,0.0766845575582448,0.005834461351772978,1539
2017,EM,Q3,0.7230324214129902,0.1583363069834639,0.08329346126328065,0.0025149879409622758,1342
2018,EM,Q3,0.7476289792635311,0.1346896580513679,0.08219759971079926,0.0006871704671223308,1300
2019,EM,Q3,0.7527582391592204,0.13719830165693084,0.07201962889826193,0.004243295660849175,995
2020,EM,Q3,0.6163019345661537,0.286219998118547,0.044295593846208244,0.000948040855932155,673
2021,EM,Q3,0.7569585191092909,0.16113241351447644,0.07074723529978647,0.0,988
2022,EM,Q3,0.6317932835192578,0.29793423361208204,0.0577091463852483,0.0,958
2023,EM,Q3,0.657915374482515,0.2582122204937573,0.05633362872492682,0.0,1084
2012,EM,Q4,0.6530190983181091,0.16890949891627038,0.08028561258895797,0.0064813709822292365,2131
2013,EM,Q4,0.6416642059228947,0.17009733278210254,0.09946119759626579,0.004316339216376538,2055
2014,EM,Q4,0.6307594804814295,0.1909001412606264,0.0891554251347443,0.00789352289415818,2179
2015,EM,Q4,0.6781168707423709,0.1635997325358104,0.10334224445059031,0.0008482905352150001,1717
2016,EM,Q4,0.7338731085535419,0.15620601217052305,0.06947741032081477,0.001987507447726828,1555
2017,EM,Q4,0.7553518864369599,0.13430486547759113,0.07587275561927592,0.0007529235955711524,1423
2018,EM,Q4,0.7526238742977064,0.1493053945364794,0.0686496750861313,0.0009793522398572362,1391
2019,EM,Q4,0.7555446971143166,0.15359559745482212,0.06968929256100768,7.492214260435404e-05,1271
2020,EM,Q4,0.6678303211228774,0.27485636335110347,0.045967923539529346,0.0,739
