ano,serie,categoria,valor,defasado,n
2024,3o EF,raca,Branca,0.052603291446377105,2236
2024,3o EF,raca,Parda,0.08596433265807445,3348
2024,3o EF,raca,Preta,0.08395633602960881,473
2024,3o EF,sexo,Homem,0.07647963376416107,3216
2024,3o EF,sexo,Mulher,0.06687805097501917,2910
2012,3o EM,raca,Branca,0.15182390937595064,2538
2012,3o EM,raca,Parda,0.25240853006900493,3114
2012,3o EM,raca,Preta,0.32462035904563513,338
2012,3o EM,sexo,Homem,0.23367135578931827,2687
2012,3o EM,sexo,Mulher,0.19199030184626334,3339
2013,3o EM,raca,Branca,0.14477779201055244,2348
2013,3o EM,raca,Parda,0.23534075951587857,2973
2013,3o EM,raca,Preta,0.25876541376209233,271
2013,3o EM,sexo,Homem,0.22128576392889246,2585
2013,3o EM,sexo,Mulher,0.17140890213252002,3024
2014,3o EM,raca,Branca,0.15058177287436378,2366
2014,3o EM,raca,Parda,0.2454027111533421,2961
2014,3o EM,raca,Preta,0.3401631052465273,302
2014,3o EM,sexo,Homem,0.21711117538160077,2682
2014,3o EM,sexo,Mulher,0.19798204980617717,2969
2015,3o EM,raca,Branca,0.13434855565055787,2358
2015,3o EM,raca,Parda,0.23252637609380342,3144
2015,3o EM,raca,Preta,0.2592062026538761,307
2015,3o EM,sexo,Homem,0.21319595429896052,2823
2015,3o EM,sexo,Mulher,0.1671263407956702,3026
2016,3o EM,raca,Branca,0.1250873969378025,2513
2016,3o EM,raca,Parda,0.20316049905647796,3477
2016,3o EM,raca,Preta,0.2525806873911227,408
2016,3o EM,sexo,Homem,0.1935398690658954,3143
2016,3o EM,sexo,Mulher,0.15235581497892645,3290
2017,3o EM,raca,Branca,0.12089958149116113,2366
2017,3o EM,raca,Parda,0.19319743455468638,3371
2017,3o EM,raca,Preta,0.2448386816630531,449
2017,3o EM,sexo,Homem,0.1870073162368369,2990
2017,3o EM,sexo,Mulher,0.1457928075613207,3233
2018,3o EM,raca,Branca,0.10997808125715187,2146
2018,3o EM,raca,Parda,0.18229765065602316,3182
2018,3o EM,raca,Preta,0.23688437881554636,409
2018,3o EM,sexo,Homem,0.1721493873313625,2739
2018,3o EM,sexo,Mulher,0.1405168568293369,3051
2019,3o EM,raca,Branca,0.10255611823487436,2130
2019,3o EM,raca,Parda,0.17560588739767813,3171
2019,3o EM,raca,Preta,0.2454438165187586,435
2019,3o EM,sexo,Homem,0.17262743053350424,2830
2019,3o EM,sexo,Mulher,0.13144738953909668,2954
2020,3o EM,raca,Branca,0.1273498621524602,1534
2020,3o EM,raca,Parda,0.17358709586940466,2147
2020,3o EM,raca,Preta,0.26944390704658283,275
2020,3o EM,sexo,Homem,0.1981842040432397,1965
2020,3o EM,sexo,Mulher,0.12972077733333576,2021
2021,3o EM,raca,Branca,0.16998525399830172,1524
2021,3o EM,raca,Parda,0.20628572368725748,2239
2021,3o EM,raca,Preta,0.2127100943528198,294
2021,3o EM,sexo,Homem,0.21511561421400266,2028
2021,3o EM,sexo,Mulher,0.1700507977052514,2069
2022,3o EM,raca,Branca,0.11639432514291963,1951
2022,3o EM,raca,Parda,0.1722972576168735,2704
2022,3o EM,raca,Preta,0.23284172723523783,475
2022,3o EM,sexo,Homem,0.1805717764943693,2566
2022,3o EM,sexo,Mulher,0.1304298123769571,2612
2023,3o EM,raca,Branca,0.10562594815611322,1866
2023,3o EM,raca,Parda,0.1468129724705935,2528
2023,3o EM,raca,Preta,0.19825647565924295,425
2023,3o EM,sexo,Homem,0.15330593239409712,2399
2023,3o EM,sexo,Mulher,0.11468585794168293,2472
2024,3o EM,raca,Branca,0.09659247958265003,1890
2024,3o EM,raca,Parda,0.13663322705873573,2667
2024,3o EM,raca,Preta,0.15231572463552379,446
2024,3o EM,sexo,Homem,0.15287156930647477,2483
2024,3o EM,sexo,Mulher,0.09212110470563445,2566
2012,4o EF,raca,Branca,0.12109055485402916,3163
2012,4o EF,raca,Parda,0.22507213625661207,5430
2012,4o EF,raca,Preta,0.3051962442534772,501
2012,4o EF,sexo,Homem,0.22461281015386528,4871
2012,4o EF,sexo,Mulher,0.14798123209965738,4264
2013,4o EF,raca,Branca,0.10289405766451824,2778
2013,4o EF,raca,Parda,0.20743581159616784,4855
2013,4o EF,raca,Preta,0.21449029728962182,366
2013,4o EF,sexo,Homem,0.19330588924001976,4266
2013,4o EF,sexo,Mulher,0.13682732286669047,3757
2014,4o EF,raca,Branca,0.08702114946628119,2537
2014,4o EF,raca,Parda,0.1823501110576058,4589
2014,4o EF,raca,Preta,0.2702475449124148,343
2014,4o EF,sexo,Homem,0.18652694539541828,4035
2014,4o EF,sexo,Mulher,0.10687713741858389,3468
2015,4o EF,raca,Branca,0.06893807814555487,2645
2015,4o EF,raca,Parda,0.15507549750697977,4529
2015,4o EF,raca,Preta,0.1467159231366281,360
2015,4o EF,sexo,Homem,0.1530091040534837,4024
2015,4o EF,sexo,Mulher,0.08321532565446639,3560
2016,4o EF,raca,Branca,0.08600533617653675,2683
2016,4o EF,raca,Parda,0.1378209036043895,4714
2016,4o EF,raca,Preta,0.18294604456391145,442
2016,4o EF,sexo,Homem,0.1501531853931653,4204
2016,4o EF,sexo,Mulher,0.08706362091400358,3690
2017,4o EF,raca,Branca,0.05617676380414995,2679
2017,4o EF,raca,Parda,0.12204339498642125,4746
2017,4o EF,raca,Preta,0.16427556866367413,423
2017,4o EF,sexo,Homem,0.11992848685469751,4243
2017,4o EF,sexo,Mulher,0.07345637911909332,3667
2018,4o EF,raca,Branca,0.06745024832402631,2549
2018,4o EF,raca,Parda,0.12411160174875734,4616
2018,4o EF,raca,Preta,0.1614379724377838,489
2018,4o EF,sexo,Homem,0.13236707200230477,4103
2018,4o EF,sexo,Mulher,0.07406383569091805,3631
2019,4o EF,raca,Branca,0.0580015923692272,2516
2019,4o EF,raca,Parda,0.11363998274435734,4352
2019,4o EF,raca,Preta,0.10355405803510467,467
2019,4o EF,sexo,Homem,0.11304469971465986,3819
2019,4o EF,sexo,Mulher,0.06782131415409383,3589
2020,4o EF,raca,Branca,0.052592164575482124,1751
2020,4o EF,raca,Parda,0.08225431008671322,2799
2020,4o EF,raca,Preta,0.08458529715436727,309
2020,4o EF,sexo,Homem,0.10194708952130485,2523
2020,4o EF,sexo,Mulher,0.040170310379608415,2363
2021,4o EF,raca,Branca,0.0588315432581056,1618
2021,4o EF,raca,Parda,0.10091157802828443,2550
2021,4o EF,raca,Preta,0.1259902371688532,263
2021,4o EF,sexo,Homem,0.10245750167486047,2341
2021,4o EF,sexo,Mulher,0.06302039403440071,2119
2022,4o EF,raca,Branca,0.05205556459043128,2097
2022,4o EF,raca,Parda,0.07089277577281781,3231
2022,4o EF,raca,Preta,0.09954335166394195,358
2022,4o EF,sexo,Homem,0.07291391338123833,2977
2022,4o EF,sexo,Mulher,0.05795481031997758,2761
2023,4o EF,raca,Branca,0.043052810670900415,2017
2023,4o EF,raca,Parda,0.08077533648637752,3134
2023,4o EF,raca,Preta,0.11983041730991449,429
2023,4o EF,sexo,Homem,0.0833685172556309,2941
2023,4o EF,sexo,Mulher,0.05528804814310109,2708
2024,4o EF,raca,Branca,0.05526017083734188,2141
2024,4o EF,raca,Parda,0.07247545962597408,3382
2024,4o EF,raca,Preta,0.1059939230253172,472
2024,4o EF,sexo,Homem,0.07819102666475797,3195
2024,4o EF,sexo,Mulher,0.057691358934971466,2874
2012,5o EF,raca,Branca,0.17258284873532365,3380
2012,5o EF,raca,Parda,0.30791227743022287,5657
2012,5o EF,raca,Preta,0.37747735823587314,511
2012,5o EF,sexo,Homem,0.29988491988674865,5225
2012,5o EF,sexo,Mulher,0.20827277382723355,4366
2013,5o EF,raca,Branca,0.13530863100210597,2785
2013,5o EF,raca,Parda,0.25437323329890704,5127
2013,5o EF,raca,Preta,0.31209995668357726,448
2013,5o EF,sexo,Homem,0.24814506335491623,4511
2013,5o EF,sexo,Mulher,0.17048153267003138,3881
2014,5o EF,raca,Branca,0.11870941000574138,2588
2014,5o EF,raca,Parda,0.21226112016943863,4686
2014,5o EF,raca,Preta,0.35374075415765666,351
2014,5o EF,sexo,Homem,0.22251810303954775,4102
2014,5o EF,sexo,Mulher,0.13939730093094926,3559
2015,5o EF,raca,Branca,0.11082927491200922,2603
2015,5o EF,raca,Parda,0.2094995127480448,4561
2015,5o EF,raca,Preta,0.22265730899420363,375
2015,5o EF,sexo,Homem,0.21078972443483707,4067
2015,5o EF,sexo,Mulher,0.1262696833118184,3511
2016,5o EF,raca,Branca,0.09447137178929761,2791
2016,5o EF,raca,Parda,0.19155824102819852,4712
2016,5o EF,raca,Preta,0.27127668704296704,487
2016,5o EF,sexo,Homem,0.1874636189116351,4224
2016,5o EF,sexo,Mulher,0.1260100912171587,3808
2017,5o EF,raca,Branca,0.09118833712032182,2724
2017,5o EF,raca,Parda,0.1663591976028917,4789
2017,5o EF,raca,Preta,0.16545779754556486,505
2017,5o EF,sexo,Homem,0.1731510349540017,4293
2017,5o EF,sexo,Mulher,0.09556803998002365,3787
2018,5o EF,raca,Branca,0.07636563910946186,2526
2018,5o EF,raca,Parda,0.15176691148401575,4694
2018,5o EF,raca,Preta,0.1339854054437461,502
2018,5o EF,sexo,Homem,0.14682768265427446,4088
2018,5o EF,sexo,Mulher,0.09524445812737917,3717
2019,5o EF,raca,Branca,0.06897966759290501,2466
2019,5o EF,raca,Parda,0.14040787080496325,4404
2019,5o EF,raca,Preta,0.15925092339536276,475
2019,5o EF,sexo,Homem,0.14629258198787023,3897
2019,5o EF,sexo,Mulher,0.08136425896707075,3522
2020,5o EF,raca,Branca,0.061368500065882896,1710
2020,5o EF,raca,Parda,0.12778615007231997,2845
2020,5o EF,raca,Preta,0.23544174441086058,285
2020,5o EF,sexo,Homem,0.15212086358848687,2587
2020,5o EF,sexo,Mulher,0.06695833943429813,2295
2021,5o EF,raca,Branca,0.07728603518478101,1607
2021,5o EF,raca,Parda,0.13474649511866715,2630
2021,5o EF,raca,Preta,0.22227934192495946,310
2021,5o EF,sexo,Homem,0.1547808571839819,2410
2021,5o EF,sexo,Mulher,0.08286196565998483,2162
2022,5o EF,raca,Branca,0.05210958156663111,2239
2022,5o EF,raca,Parda,0.11084444573208119,3264
