ano,idade,categoria,valor,ef,em,sup,n
2021,14,sexo,Homem,0.08993895229758377,0.0,0.0,12274
2021,15,sexo,Homem,0.4813184616431275,0.0,0.0,12439
2021,16,sexo,Homem,0.7320138989082187,0.004566520337908556,0.0,12664
2021,17,sexo,Homem,0.8208660353654159,0.08501611724375138,0.0,12546
2021,18,sexo,Homem,0.8644081839923448,0.3963929233191624,0.002697287384091192,12667
2021,19,sexo,Homem,0.8887414671575864,0.5819960835993623,0.0028010237073808437,12051
2021,20,sexo,Homem,0.8905755355841015,0.670351915210772,0.0074799869959835995,12277
2021,21,sexo,Homem,0.8890696633726198,0.6970959774869042,0.021796112600997102,12275
2021,22,sexo,Homem,0.8809594276416484,0.697316922622093,0.04961562050581984,11415
2021,23,sexo,Homem,0.8757158664650438,0.6973333416554471,0.08096152803305673,11265
2021,24,sexo,Homem,0.883666617677349,0.7044365792265678,0.1426925807192213,10875
2021,25,sexo,Homem,0.8604968666168248,0.6717443889607415,0.13917649805782284,11119
2021,26,sexo,Homem,0.8577171964776523,0.6807847659688745,0.171422418539902,10604
2021,27,sexo,Homem,0.8544864698641355,0.6704102502277077,0.18809338833850897,9867
2021,28,sexo,Homem,0.8500479675106104,0.6807010433193137,0.21175217541091368,9965
2021,29,sexo,Homem,0.8529333172169169,0.6942107555765294,0.19944769679867755,9310
2023,14,sexo,Homem,0.09523686393583443,0.0,0.0,13950
2023,15,sexo,Homem,0.500215367332916,0.0,0.0,14351
2023,16,sexo,Homem,0.7801053486690194,0.002949948974909684,0.0,14606
2023,17,sexo,Homem,0.8692955818646453,0.07805081347351235,0.0,14912
2023,18,sexo,Homem,0.8916253385204854,0.43394327688264817,0.001317573844133457,14591
2023,19,sexo,Homem,0.9083275582179627,0.6410698752202558,0.002779986038114214,13588
2023,20,sexo,Homem,0.8967475828669212,0.676521808641519,0.010314110760694214,13490
2023,21,sexo,Homem,0.9033428352635884,0.7009675498067406,0.024347004958589644,12936
2023,22,sexo,Homem,0.8939241240948658,0.7145821682531791,0.044235194886158284,13547
2023,23,sexo,Homem,0.8923939401504275,0.7158585918875574,0.08032899158440487,13889
2023,24,sexo,Homem,0.8854244764566518,0.7185704907496022,0.1236447364152006,12747
2023,25,sexo,Homem,0.8793691821389777,0.7076559673791939,0.1476847088920431,12888
2023,26,sexo,Homem,0.8745123290225271,0.7068398530340608,0.1611337516225405,12765
2023,27,sexo,Homem,0.8701560770768484,0.7115924767452723,0.18051105151903307,12774
2023,28,sexo,Homem,0.8681884497720157,0.7047283739816963,0.20171414956878514,12670
2023,29,sexo,Homem,0.8617756650853564,0.7014979398675062,0.20345338126843182,12080
2025,14,sexo,Homem,0.1086426332171083,0.0,0.0,14057
2025,15,sexo,Homem,0.5885432267500462,0.0,0.0,13987
2025,16,sexo,Homem,0.8278926865855754,0.00460873823209029,0.0,14324
2025,17,sexo,Homem,0.8957991027364673,0.08500631004996484,0.0,14153
2025,18,sexo,Homem,0.9271389779444824,0.4830229263839577,0.0019299676326809381,14082
2025,19,sexo,Homem,0.9305408286572863,0.6837209573325468,0.007869483507855093,13138
2025,20,sexo,Homem,0.925269787886244,0.7352876759592164,0.015544583595689988,12858
2025,21,sexo,Homem,0.9236570170717892,0.7563318619740564,0.02263408676040816,12043
2025,22,sexo,Homem,0.9102218192529923,0.7510182605438693,0.055878194794337394,12318
2025,23,sexo,Homem,0.9064395346509644,0.7402907955007451,0.07941874834344129,11875
2025,24,sexo,Homem,0.9061841454248172,0.7585849272084747,0.13159145728782756,12636
2025,25,sexo,Homem,0.8949435535855308,0.7461470113304964,0.14919443534676446,13026
